PersonName,DateOfBirth,GroupName,GroupCategory,Role,Height (inches),StartDate,EndDate,
Chris Evans,,TMNT 2007,Movie,Actor,,,,
Sarah Michelle Gellar,,TMNT 2007,Movie,Actor,,,,
Johnny Knoxville,,TMNT 2014,Movie,Voice Actor,,,,
Megan Fox,1986-05-16,TMNT 2014,Movie,Actor,64,,,
Megan Fox,1986-05-17,TMNT 2016,Movie,Actor,64,,,
Stephen Amell,,TMNT 2016,Movie,Actor,,,,
Brady Noon,,TMNT 2023,Movie,Actor,,,,
Micah Abbey,,TMNT 2023,Movie,Actor,,,,
Nicolas Cantu,,TMNT 2023,Movie,Actor,,,,
Shamon Brown Jr.,,TMNT 2023,Movie,Actor,,,,
Madison,2015-06-23,Trinity and Beyond,YouTube,Sibling,,2016-10-24,Present,
Trinity,2013-12-09,Trinity and Beyond,YouTube,Sibling,,2016-10-24,Present,
Anna Kendrick,,Trolls 1,Movie,Actor,,,,
Justin Timberlake,,Trolls 1,Movie,Actor,,,,
Anna Kendrick,,Trolls 2,Movie,Actor,,,,
Justin Timberlake,,Trolls 2,Movie,Actor,,,,
Rachel Bloom,,Trolls 2,Movie,Actor,,,,
Anna Kendrick,,Trolls 3,Movie,Actor,,,,
Justin Timberlake,,Trolls 3,Movie,Actor,,,,
Touring stage show,,Trolls LIVE!,Musical/Show,Actor,,,,
Nikita,2007-08-31,Vlad and Nikita,YouTube,Sibling,,2018-04-23,Present,
Vlad,2013-02-26,Vlad and Nikita,YouTube,Sibling,,2018-04-23,Present,
Vy Qwaint,1986-01-03,Vy Qwaint,YouTube,Member,61,2014-03-12,Present,
Brooklynn,,XOMG POP!,Band,Member,,2021-11-14,,
Dallas,,XOMG POP!,Band,Member,,2021-11-14,,
Kinley,,XOMG POP!,Band,Member,,2021-11-14,,
Kiya,,XOMG POP!,Band,Member,,2021-11-14,,
Leah,,XOMG POP!,Band,Member,,2021-11-14,,
Penelope,,XOMG POP!,Band,Member,,2021-11-14,,
Presley,,XOMG POP!,Band,Member,,2021-11-14,,
Tinie T,2012-02-20,XOMG POP!,Band,Member,,2021-11-14,Present,
Bella Cianni Llerena,2007-10-29,XOMG POP!,Band,Former Member,,2021,2022,
Brooklynn Pitts,2007-11-01,XOMG POP!,Band,Member,62,2021,Present,
Dallas Skye,2011-03-02,XOMG POP!,Band,Member,,2021,Present,
Kinley Cunningham,2011-07-26,XOMG POP!,Band,Member,51,2021,Present,
Kiya Barczyszyn,2010-05-24,XOMG POP!,Band,Former Member,,2021,2023,
Leigha Rose Sanderson,2006-06-10,XOMG POP!,Band,Former Member,62,2021,2023,
Penelope Robin,2007-05-20,XOMG POP!,Band,Member,,2023,Present,
Ginnifer Goodwin,,Zootopia 1,Movie,Actor,,,,
Idris Elba,,Zootopia 1,Movie,Actor,,,,
Jason Bateman,,Zootopia 1,Movie,Actor,,,,
